TYPE,MANUF. ID,CAT,P/N,Focal Lth,CA,Radius 1,Material,Thick,Radius 2
LEN,MG,,01LQF023,25,13.5,11.502,SILICA,4.8,0
LEN,MG,,01LQF028,50,22.5,23.004,SILICA,5.7,0
LEN,MG,,01LQF036,50,36,23.004,SILICA,13.7,0
LEN,MG,,01LQF045,75,22.5,34.506,SILICA,4.4,0
LEN,MG,,01LQF055,75,36,34.506,SILICA,8.4,0
LEN,MG,,01LQF066,75,45,34.506,SILICA,13.8,0
LEN,MG,,01LQF078,100,22.5,46.008,SILICA,3.7,0
LEN,MG,,01LQF111,100,36,46.008,SILICA,6.6,0
LEN,MG,,01LQF116,100,45,46.008,SILICA,10.4,0
LEN,MG,,01LQF136,150,22.5,69.012,SILICA,3.1,0
LEN,MG,,01LQF145,150,45,69.012,SILICA,7.7,0
LEN,MG,,01LQF222,200,22.5,92.016,SILICA,2.9,0
LEN,MG,,01LQF227,200,45,92.016,SILICA,6.5,0
LEN,MG,,01LQF235,250,22.5,115.02,SILICA,2.7,0
LEN,MG,,01LQF244,250,45,115.02,SILICA,5.8,0
LEN,MG,,01LQF249,250,67.5,115.02,SILICA,9.3,0
LEN,MG,,01LQF259,300,22.5,138.023,SILICA,2.6,0
LEN,MG,,01LQF277,300,45,138.023,SILICA,5.3,0
LEN,MG,,01LQF299,500,22.5,230.039,SILICA,2.3,0
LEN,MG,,01LQF337,500,45,230.039,SILICA,4.4,0
LEN,MG,,01LQF346,500,67.5,230.039,SILUV,6.1,0
LEN,MG,,01LQP001,50,22.5,23.004,SILUV,5.7,0
LEN,MG,,01LQP003,75,22.5,34.506,SILUV,4.4,0
LEN,MG,,01LQP005,75,45,34.506,SILUV,13.8,0
LEN,MG,,01LQP007,100,22.5,46.008,SILUV,3.7,0
LEN,MG,,01LQP009,100,45,46.008,SILUV,10.4,0
LEN,MG,,01LQP011,125,22.5,57.51,SILUV,3.4,0
LEN,MG,,01LQP013,150,45,69.012,SILUV,3.1,0
LEN,MG,,01LQP015,150,45,69.012,SILUV,7.7,0
LEN,MG,,01LQP017,175,22.5,80.514,SILUV,3,0
LEN,MG,,01LQP019,175,45,80.514,SILUV,7,0
LEN,MG,,01LQP021,200,22.5,92.016,SILUV,2.9,0
LEN,MG,,01LQP023,200,45,92.016,SILUV,6.5,0
LEN,MG,,01LQP025,250,22.5,115.02,SILUV,2.7,0
LEN,MG,,01LQP027,250,45,115.02,SILUV,5.8,0
LEN,MG,,01LQP029,300,22.5,138.023,SILUV,2.6,0
LEN,MG,,01LQP033,300,45,138.023,SILUV,5.3,0
LEN,MG,,01LQP035,500,22.5,230.039,SILUV,2.3,0
LEN,MG,,01LQP037,500,45,230.039,SILUV,4.4,0
LEN,MG,,01LQP039,1000,22.5,460.078,SILUV,2.2,0
LEN,MG,,01LQP041,1000,45,460.078,SILUV,3.7,0
LEN,MG,,01LQP147,10,4.5,4.601,SILUV,2.7,0
LEN,MG,,01LQP155,15,6.75,6.901,SILUV,3.1,0
LEN,MG,,01LQP166,25,9,11.502,SILUV,3.1,0
LEN,MG,,01LQP177,25,13.5,11.502,SILUV,4.8,0
LEN,MG,,01LSX001,5,4.5,3.854,SAPPHIRE,2.92,0
LEN,MG,,01LSX003,10,4.5,7.708,SAPPHIRE,2.42,0
LEN,MG,,01LSX005,10,9,7.708,SAPPHIRE,3.84,0
LEN,MG,,01LSX007,20,9,15.416,SAPPHIRE,2.83,0
LEN,MG,,01LSX009,20,18,15.416,SAPPHIRE,5.68,0
LEN,MG,,01LSX013,25,22.5,19.27,SAPPHIRE,6.6,0
LEN,MG,,01LSX017,50,22.5,38.54,SAPPHIRE,4.08,0
LEN,MG,,01LSX023,100,22.5,77.08,SAPPHIRE,3.02,0
LEN,MG,,01LUC025,37.5,25,17.552,CaF2,8.25,0
LEN,MG,,01LUC027,50,25,23.402,CaF2,6.7,0
LEN,MG,,01LUC029,75,25,35.103,CaF2,5.3,0
LEN,MG,,01LUC031,100,25,46.804,CaF2,4.76,0
LEN,MG,,01LUC033,150,25,70.206,CaF2,4.16,0
LEN,MG,,01LUC035,200,25,93.608,CaF2,3.87,0
LEN,MG,,01LUC037,250,25,117.01,CaF2,3.69,0
LEN,MG,,01LUC039,500,25,234.02,CaF2,3.34,0
LEN,MG,,01LUC041,750,25,351.03,CaF2,3.23,0
LEN,MG,,01LUC043,1000,25,468.04,CaF2,3.17,0
LEN,MG,,01LUC045,1500,25,702.06,CaF2,3.12,0
LEN,MG,,01LUC047,2000,25,936.08,CaF2,3.1,0
LEN,MG,,01LUC049,75,50,35.103,CaF2,13.47,0
LEN,MG,,01LUC051,100,50,46.804,CaF2,10.25,0
LEN,MG,,01LUC053,150,50,70.206,CaF2,7.6,0
LEN,MG,,01LUC055,200,50,93.608,CaF2,6.4,0
LEN,MG,,01LUC057,250,50,117.01,CaF2,5.79,0
LEN,MG,,01LUC059,500,50,234.02,CaF2,4.38,0
LEN,MG,,01LUC061,750,50,351.03,CaF2,3.92,0
LEN,MG,,01LUC063,1000,50,468.04,CaF2,3.69,0
LEN,MG,,01LUC065,2000,50,936.08,CaF2,3.35,0
LEN,MG,,01LUD001,12.5,12.5,10.687,SILICA,6,-10.687
LEN,MG,,01LUD002,10,6.25,8.886,SILICA,3,-8.886
LEN,MG,,01LUD003,15,12.5,13.238,SILICA,5,-13.238
LEN,MG,,01LUD005,20,12.5,18.122,SILICA,4,-18.122
LEN,MG,,01LUD007,25,12.5,22.823,SILICA,4,-22.823
LEN,MG,,01LUD009,30,12.5,27.606,SILICA,3.5,-27.606
LEN,MG,,01LUD011,40,12.5,37.002,SILICA,3.5,-37.002
LEN,MG,,01LUD013,50,12.5,46.396,SILICA,3.5,-46.396
LEN,MG,,01LUD015,75,12.5,69.96,SILICA,3,-69.96
LEN,MG,,01LUD017,100,12.5,93.442,SILICA,3,-93.442
LEN,MG,,01LUD019,125,12.5,116.924,SILICA,3,-116.924
LEN,MG,,01LUD021,175,12.5,163.886,SILICA,3,-163.886
LEN,MG,,01LUD023,250,12.5,234.33,SILICA,3,-234.33
LEN,MG,,01LUD025,25,25,21.757,SILICA,10,-21.757
LEN,MG,,01LUD027,37.5,25,34.235,SILICA,6,-34.235
LEN,MG,,01LUD029,62.5,25,57.892,SILICA,5,-57.892
LEN,MG,,01LUD031,75,25,69.635,SILICA,5,-69.635
LEN,MG,,01LUD033,100,25,93.118,SILICA,5,-93.118
LEN,MG,,01LUD035,125,25,116.601,SILICA,5,-116.601
LEN,MG,,01LUD037,175,25,163.564,SILICA,5,-163.564
LEN,MG,,01LUD039,300,25,280.971,SILICA,5,-280.971
LEN,MG,,01LUD041,350,25,327.933,SILICA,5,-327.933
LEN,MG,,01LUD043,600,25,562.744,SILICA,5,-562.744
LEN,MG,,01LUD045,800,25,750.592,SILICA,5,-750.592
LEN,MG,,01LUD047,50,50,43.884,SILICA,18,-43.884
LEN,MG,,01LUD049,75,50,68.47,SILICA,12,-68.47
LEN,MG,,01LUD051,100,50,92.463,SILICA,9,-92.463
LEN,MG,,01LUD053,125,50,116.113,SILICA,8,-116.113
LEN,MG,,01LUD055,150,50,139.596,SILICA,8,-139.596
LEN,MG,,01LUD057,375,50,350.932,SILICA,8,-350.932
LEN,MG,,01LUD059,625,50,585.744,SILICA,8,-585.744
LEN,MG,,01LUD061,750,50,703.149,SILICA,8,-703.149
LEN,MG,,01LUP001,10,6.25,4.696,SILICA,3,0
LEN,MG,,01LUP002,12.5,6.25,5.87,SILICA,3,0
LEN,MG,,01LUP003,15,12.5,7.044,SILICA,6,0
LEN,MG,,01LUP005,20,12.5,9.392,SILICA,5,0
LEN,MG,,01LUP007,25,12.5,11.741,SILICA,4.5,0
LEN,MG,,01LUP009,30,12.5,14.089,SILICA,4,0
LEN,MG,,01LUP011,40,12.5,18.785,SILICA,3.5,0
LEN,MG,,01LUP013,50,12.5,23.481,SILICA,3.5,0
LEN,MG,,01LUP015,75,12.5,35.222,SILICA,3.5,0
LEN,MG,,01LUP017,100,12.5,46.962,SILICA,3.5,0
LEN,MG,,01LUP019,125,12.5,58.703,SILICA,3.5,0
LEN,MG,,01LUP021,175,12.5,82.184,SILICA,3.5,0
LEN,MG,,01LUP023,250,12.5,117.405,SILICA,3.5,0
LEN,MG,,01LUP025,37.5,25,17.611,SILICA,9,0
LEN,MG,,01LUP027,62.5,25,29.351,SILICA,6,0
LEN,MG,,01LUP029,75,25,35.222,SILICA,6,0
LEN,MG,,01LUP031,100,25,46.962,SILICA,5,0
LEN,MG,,01LUP033,125,25,58.703,SILICA,5,0
LEN,MG,,01LUP035,175,25,82.184,SILICA,4.5,0
LEN,MG,,01LUP037,300,25,140.886,SILICA,4,0
LEN,MG,,01LUP039,350,25,164.367,SILICA,4,0
LEN,MG,,01LUP041,600,25,281.772,SILICA,4,0
LEN,MG,,01LUP043,1500,25,704.43,SILICA,4,0
LEN,MG,,01LUP045,2000,25,939.24,SILICA,4,0
LEN,MG,,01LUP047,800,25,375.696,SILICA,4,0
LEN,MG,,01LUP049,75,50,35.222,SILICA,13,0
LEN,MG,,01LUP051,100,50,46.962,SILICA,11,0
LEN,MG,,01LUP053,125,50,58.703,SILICA,9,0
LEN,MG,,01LUP055,150,50,70.443,SILICA,9,0
LEN,MG,,01LUP057,375,50,176.108,SILICA,9,0
LEN,MG,,01LUP059,625,50,293.513,SILICA,9,0
LEN,MG,,01LUP061,750,50,352.215,SILICA,9,0
LEN,MG,,01LUP063,1500,50,704.43,SILICA,9,0
LEN,MG,,01LUP065,2000,50,939.24,SILICA,9,0
LEN,MG,,06LMS001,0.55,1,0.5,LASFN9,1,-0.5
LEN,MG,,06LMS101,0.55,1,0.5,LASFN9,1,-0.5
LEN,MG,,06LMS201,0.55,1,0.5,LASFN9,1,-0.5
LEN,MG,,06LMS301,0.56,1,0.5,LASFN9,1,-0.5
LEN,MG,,06LMS401,0.56,1,0.5,LASFN9,1,-0.5
LEN,MG,,01LDK001,-5.0195,4.6,-5.509,BK7,2,5.509
LEN,MG,,01LDK003,-8.0304,5.6,-8.628,BK7,2,8.628
LEN,MG,,01LDK005,-12.045,11.6,-12.782,BK7,2,12.782
LEN,MG,,01LDK007,-20.075,19.6,-21.085,BK7,2,21.085
LEN,MG,,01LDK009,-25.094,24.6,-26.273,BK7,2,26.273
LEN,MG,,01LDK013,-30.112,19.6,-31.461,BK7,2,31.461
LEN,MG,,01LDK015,-30.112,29.6,-31.461,BK7,2,31.461
LEN,MG,,01LDK016,-35.131,19.6,-36.649,BK7,2,36.649
LEN,MG,,01LDK017,-40.15,22,-41.837,BK7,2,41.837
LEN,MG,,01LDK018,-50.187,29.6,-52.212,BK7,2,52.212
LEN,MG,,01LDK021,-50.187,41.2,-52.212,BK7,2,52.212
LEN,MG,,01LDK023,-70.261,19.6,-72.961,BK7,2,72.961
LEN,MG,,01LDK024,-100.38,29.6,-104.09,BK7,2,104.09
LEN,MG,,01LDK026,-100.38,49.2,-104.09,BK7,2,104.09
LEN,MG,,01LDK027,-150.56,22,-155.96,BK7,2,155.96
LEN,MG,,01LDK031,-150.56,49.2,-155.96,BK7,2,155.96
LEN,MG,,01LDK034,-200.74,29.6,-207.83,BK7,2,207.83
LEN,MG,,01LDK036,-250.93,49.2,-207.83,BK7,2,207.83
LEN,MG,,01LDK041,-501.86,41.2,-519.06,BK7,2,519.06
LEN,MG,,01LDK105,-12.5,12.5,13.301,BK7,2,-13.301
LEN,MG,,01LDK107,-15,12.5,15.896,BK7,2,-15.896
LEN,MG,,01LDK109,-20,12.5,21.085,BK7,2,-21.085
LEN,MG,,01LDK111,-25,12.5,26.273,BK7,2,-26.273
LEN,MG,,01LDK113,-30,12.5,31.461,BK7,2,-31.461
LEN,MG,,01LDK115,-37.5,25,39.243,BK7,2,-39.243
LEN,MG,,01LDK117,-40,12.5,41.836,BK7,2,-41.836
LEN,MG,,01LDK119,-50,12.5,52.211,BK7,2,-52.211
LEN,MG,,01LDK121,-50,25,52.211,BK7,2,-52.211
LEN,MG,,01LDK122,-50,50,52.211,BK7,2,-52.211
LEN,MG,,01LDK123,-62.5,25,65.18,BK7,2,-65.18
LEN,MG,,01LDK125,-75,12.5,78.148,BK7,2,-78.148
LEN,MG,,01LDK127,-75,25,78.148,BK7,2,-78.148
LEN,MG,,01LDK129,-75,50,78.148,BK7,2,-78.148
LEN,MG,,01LDK131,-100,12.5,104.084,BK7,2,-104.084
LEN,MG,,01LDK133,-100,25,104.084,BK7,2,-104.084
LEN,MG,,01LDK135,-125,12.5,130.021,BK7,2,-130.021
LEN,MG,,01LDK137,-125,25,130.021,BK7,2,-130.021
LEN,MG,,01LDK139,-150,25,155.957,BK7,2,-155.957
LEN,MG,,01LDK141,-175,12.5,181.893,BK7,2,-181.893
LEN,MG,,01LDK143,-175,25,181.893,BK7,2,-181.893
LEN,MG,,01LDK145,-200,25,207.829,BK7,2,-207.829
LEN,MG,,01LDK147,-250,12.5,259.701,BK7,2,-259.701
LEN,MG,,01LDK149,-250,25,259.701,BK7,2,-259.701
LEN,MG,,01LDK151,-300,25,311.573,BK7,2,-311.573
LEN,MG,,01LDK153,-300,50,311.573,BK7,2,-311.573
LEN,MG,,01LMN001,-100.65,25,90,BK7,3,32.59
LEN,MG,,01LMN009,-151.67,25,90,BK7,3,41.42
LEN,MG,,01LMN011,-151.67,50,90,BK7,3,41.42
LEN,MG,,01LMN013,-177.08,25,90,BK7,3,44.86
LEN,MG,,01LMN017,-202.52,25,90,BK7,3,47.84
LEN,MG,,01LMN019,-202.52,50,90,BK7,3,47.84
LEN,MG,,01LMN021,-250.54,25,235,BK7,3,83.12
LEN,MG,,01LMN025,-300.67,25,235,BK7,3,93.13
LEN,MG,,01LMN027,-300.67,50,235,BK7,3,93.13
LEN,MG,,01LMN033,-400.42,25,235,BK7,3,109.56
LEN,MG,,01LMN035,-400.42,50,235,BK7,3,109.56
LEN,MG,,01LMN037,-500.54,25,235,BK7,3,122.6
LEN,MG,,01LMN041,-599.99,25,600,BK7,3,204.08
LEN,MG,,01LMN045,-799.91,25,600,BK7,3,244.34
LEN,MG,,01LMN047,-799.91,50,600,BK7,3,244.34
LEN,MG,,01LMN049,-999.88,25,600,BK7,3,277.16
LEN,MG,,01LMN051,-999.88,50,600,BK7,3,277.16
LEN,MG,,01LMN053,-1499.6,25,600,BK7,3,337.6
LEN,MG,,01LMN055,-1499.6,50,600,BK7,3,337.6
LEN,MG,,01LMN057,-1997.7,25,600,BK7,3,378.82
LEN,MG,,01LMN059,-1997.7,50,600,BK7,3,378.82
LEN,MG,,01LMN061,-3991.3999,25,600,BK7,3,464.01
LEN,MG,,01LMN063,-3991.3999,50,600,BK7,3,464.01
LEN,MG,,01LPK001,-20.074,9.6,-10.374,BK7,2,0
LEN,MG,,01LPK002,-10.037,4.6,-5.187,BK7,2,0
LEN,MG,,01LPK003,-25.093,24.6,-12.968,BK7,2,0
LEN,MG,,01LPK004,-15.054,7.6,-7.78,BK7,2,0
LEN,MG,,01LPK007,-30.112,19.6,-15.562,BK7,2,0
LEN,MG,,01LPK011,-38.241,25,-19.763,BK7,2,0
LEN,MG,,01LPK013,-40.149,20.6,-20.749,BK7,2,0
LEN,MG,,01LPK015,-50.186,19.6,-25.936,BK7,2,0
LEN,MG,,01LPK017,-50.186,22,-25.936,BK7,2,0
LEN,MG,,01LPK019,-50.186,29.6,-25.936,BK7,2,0
LEN,MG,,01LPK029,-75.279,14.6,-38.904,BK7,2,0
LEN,MG,,01LPK033,-75.279,49.2,-38.904,BK7,3,0
LEN,MG,,01LPK035,-85.315,21.6,-44.091,BK7,2,0
LEN,MG,,01LPK043,-100.37,29.6,-51.872,BK7,2,0
LEN,MG,,01LPK045,-100.37,41.2,-51.872,BK7,2,0
LEN,MG,,01LPK047,-100.37,49.2,-51.872,BK7,2,0
LEN,MG,,01LPK049,-125.46,29.6,-64.84,BK7,2,0
LEN,MG,,01LPK055,-125.46,49.2,-64.84,BK7,3,0
LEN,MG,,01LPK057,-150.56,22,-77.808,BK7,2,0
LEN,MG,,01LPK058,-150.56,29.6,-77.808,BK7,2,0
LEN,MG,,01LPK061,-150.56,49.2,-77.808,BK7,3,0
LEN,MG,,01LPK064,-200.74,49.2,-103.74,BK7,2,0
LEN,MG,,01LPK065,-602.23,94.2,-311.23,BK7,3,0
LEN,MG,,01LPK066,-602.23,49.2,-311.23,BK7,2,0
LEN,MG,,01LPK101,-12.5,12.5,-6.484,BK7,2,0
LEN,MG,,01LPK103,-15,12.5,-7.781,BK7,2,0
LEN,MG,,01LPK105,-20,12.5,-10.374,BK7,2,0
LEN,MG,,01LPK107,-25,12.5,-12.968,BK7,2,0
LEN,MG,,01LPK109,-30,12.5,-15.562,BK7,2,0
LEN,MG,,01LPK111,-40,12.5,-20.749,BK7,2,0
LEN,MG,,01LPK113,-50,12.5,-25.936,BK7,2,0
LEN,MG,,01LPK115,-75,12.5,-38.904,BK7,2,0
LEN,MG,,01LPK117,-100,12.5,-51.872,BK7,2,0
LEN,MG,,01LPK119,-125,12.5,-64.84,BK7,2,0
LEN,MG,,01LPK121,-175,12.5,-90.776,BK7,2,0
LEN,MG,,01LPK123,-250,12.5,-129.68,BK7,2,0
LEN,MG,,01LPK125,-37.5,25,-19.452,BK7,2,0
LEN,MG,,01LPK127,-62.5,25,-32.42,BK7,2,0
LEN,MG,,01LPK129,-75,25,-38.904,BK7,2,0
LEN,MG,,01LPK131,-125,25,-64.84,BK7,2,0
LEN,MG,,01LPK133,-150,25,-77.808,BK7,2,0
LEN,MG,,01LPK135,-175,25,-90.776,BK7,2,0
LEN,MG,,01LPK137,-200,25,-103.744,BK7,2,0
LEN,MG,,01LPK139,-250,25,-129.68,BK7,2,0
LEN,MG,,01LPK141,-300,25,-155.616,BK7,2,0
LEN,MG,,01LPK143,-350,25,-181.552,BK7,2,0
LEN,MG,,01LPK145,-400,25,-207.488,BK7,2,0
LEN,MG,,01LPK147,-500,25,-259.36,BK7,2,0
LEN,MG,,01LPK149,-600,25,-311.232,BK7,2,0
LEN,MG,,01LPK151,-700,25,-363.104,BK7,2,0
LEN,MG,,01LPK153,-800,25,-414.976,BK7,2,0
LEN,MG,,01LPK155,-1000,25,-518.72,BK7,2,0
LEN,MG,,01LPK157,-1500,25,-778.08,BK7,2,0
LEN,MG,,01LPK159,-2000,25,-1037.44,BK7,2,0
LEN,MG,,01LPK161,-250,50,-129.68,BK7,3,0
LEN,MG,,01LPK163,-325,50,-168.584,BK7,3,0
LEN,MG,,01LPK165,-500,50,-259.36,BK7,3,0
LEN,MG,,01LPK167,-625,50,-324.2,BK7,3,0
LEN,MG,,01LPK169,-750,50,-389.04,BK7,3,0
LEN,MG,,01LPK171,-1000,50,-518.72,BK7,3,0
LEN,MG,,01LPK173,-1500,50,-778.08,BK7,3,0
LEN,MG,,01LPK175,-2000,50,-1037.44,BK7,3,0
LEN,MG,,01LQS000,-10,4.6,-4.601,SILUV,2,0
LEN,MG,,01LQS001,-15,7.1,-6.901,SILUV,2,0
LEN,MG,,01LQS003,-50,24.6,-23.004,SILUV,2,0
LEN,MG,,01LQS004,-75,24.6,-34.506,SILUV,2,0
LEN,MG,,01LQS005,-100,24.6,-46.008,SILUV,2,0
LEN,MG,,01LQS006,-100,49.6,-46.008,SILUV,3,0
LEN,MG,,01LQS007,-150,24.6,-69.012,SILUV,2,0
LEN,MG,,01LQS014,-300,24.6,-138.023,SILUV,2,0
LEN,MG,,01LQS016,-500,24.6,-230.039,SILUV,2,0
LEN,MG,,01LQS018,-1000,24.6,-460.078,SILUV,2,0
LEN,MG,,01LQS019,-1000,49.6,-460.078,SILUV,3,0
LEN,MG,,01LQT000,-10,4.6,-4.601,SILICA,2,0
LEN,MG,,01LQT001,-15,7.1,-6.901,SILICA,2,0
LEN,MG,,01LQT002,-25,9.6,-11.502,SILICA,2,0
LEN,MG,,01LQT003,-50,24.6,-23.004,SILICA,2,0
LEN,MG,,01LQT004,-75,24.6,-34.506,SILICA,2,0
LEN,MG,,01LQT005,-100,24.6,-46.008,SILICA,2,0
LEN,MG,,01LQT006,-100,49.6,-46.008,SILICA,3,0
LEN,MG,,01LQT007,-150,24.6,-69.012,SILICA,2,0
LEN,MG,,01LQT009,-200,24.6,-92.016,SILICA,2,0
LEN,MG,,01LQT012,-250,24.6,-115.02,SILICA,2,0
LEN,MG,,01LQT014,-300,24.6,-138.023,SILICA,2,0
LEN,MG,,01LQT015,-300,49.6,-138.023,SILICA,3,0
LEN,MG,,01LQT016,-500,24.6,-230.039,SILICA,2,0
LEN,MG,,01LQT017,-500,49.6,-230.039,SILICA,3,0
LEN,MG,,01LQT018,-1000,24.6,-460.078,SILICA,2,0
LEN,MG,,01LQT019,-1000,49.6,-460.078,SILICA,3,0
LEN,MG,,01LUB001,-12.5,12.5,12.052,SILICA,2,-12.052
LEN,MG,,01LUB002,-10,6.25,9.702,SILICA,2,-9.702
LEN,MG,,01LUB003,-15,12.5,14.401,SILICA,2,-14.401
LEN,MG,,01LUB005,-20,12.5,19.099,SILICA,2,-19.099
LEN,MG,,01LUB007,-25,12.5,23.796,SILICA,2,-23.796
LEN,MG,,01LUB009,-30,12.5,28.649,SILICA,3,-28.649
LEN,MG,,01LUB011,-40,12.5,38.043,SILICA,3,-38.043
LEN,MG,,01LUB013,-50,12.5,47.437,SILICA,3,-47.437
LEN,MG,,01LUB015,-75,12.5,70.919,SILICA,3,-70.919
LEN,MG,,01LUB017,-100,12.5,94.401,SILICA,3,-94.401
LEN,MG,,01LUB019,-125,12.5,117.882,SILICA,3,-117.882
LEN,MG,,01LUB021,-175,12.5,164.845,SILICA,3,-164.845
LEN,MG,,01LUB023,-250,12.5,235.288,SILICA,3,-235.288
LEN,MG,,01LUB025,-25,25,23.951,SILICA,3,-23.951
LEN,MG,,01LUB027,-37.5,25,35.694,SILICA,3,-35.694
LEN,MG,,01LUB029,-62.5,25,59.178,SILICA,3,-59.178
LEN,MG,,01LUB031,-75,25,70.919,SILICA,3,-70.919
LEN,MG,,01LUB033,-100,25,94.48,SILICA,3.5,-94.48
LEN,MG,,01LUB035,-125,25,118.12,SILICA,4.5,-118.12
LEN,MG,,01LUB037,-175,25,165.083,SILICA,4.5,-165.083
LEN,MG,,01LUB039,-300,25,282.489,SILICA,4.5,-282.489
LEN,MG,,01LUB041,-350,25,329.451,SILICA,4.5,-329.451
LEN,MG,,01LUB043,-600,25,564.262,SILICA,4.5,-564.262
LEN,MG,,01LUB045,-800,25,752.11,SILICA,4.5,-752.11
LEN,MG,,01LUB047,-50,50,47.748,SILICA,5,-47.748
LEN,MG,,01LUB049,-75,50,71.233,SILICA,5,-71.233
LEN,MG,,01LUB051,-100,50,94.716,SILICA,5,-94.716
LEN,MG,,01LUB053,-125,50,118.199,SILICA,5,-118.199
LEN,MG,,01LUB055,-150,50,141.68,SILICA,5,-141.68
LEN,MG,,01LUB057,-375,50,353.25,SILICA,6.5,-353.25
LEN,MG,,01LUB059,-625,50,588.062,SILICA,6.5,-588.062
LEN,MG,,01LUB061,-750,50,705.547,SILICA,7,-705.547
LEN,MG,,01LUK001,-10,6.25,-4.696,SILICA,2,0
LEN,MG,,01LUK002,-12.5,6.25,-5.87,SILICA,2,0
LEN,MG,,01LUK003,-15,12.5,-7.044,SILICA,2,0
LEN,MG,,01LUK005,-20,12.5,-9.392,SILICA,2,0
LEN,MG,,01LUK007,-25,12.5,-11.741,SILICA,2.5,0
LEN,MG,,01LUK009,-30,12.5,-14.089,SILICA,3,0
LEN,MG,,01LUK011,-40,12.5,-18.785,SILICA,3.5,0
LEN,MG,,01LUK013,-50,12.5,-23.481,SILICA,3.5,0
LEN,MG,,01LUK015,-75,12.5,-35.222,SILICA,4,0
LEN,MG,,01LUK017,-100,12.5,-46.962,SILICA,4,0
LEN,MG,,01LUK019,-125,12.5,-58.703,SILICA,4,0
LEN,MG,,01LUK021,-175,12.5,-82.184,SILICA,4,0
LEN,MG,,01LUK023,-250,12.5,-117.405,SILICA,4,0
LEN,MG,,01LUK025,-37.5,25,-17.611,SILICA,5,0
LEN,MG,,01LUK027,-62.5,25,-29.351,SILICA,5,0
LEN,MG,,01LUK029,-75,25,-35.222,SILICA,5,0
LEN,MG,,01LUK031,-100,25,-46.962,SILICA,5,0
LEN,MG,,01LUK033,-125,25,-58.703,SILICA,5,0
LEN,MG,,01LUK035,-175,25,-82.184,SILICA,6,0
LEN,MG,,01LUK037,-300,25,-140.886,SILICA,6,0
LEN,MG,,01LUK039,-350,25,-164.367,SILICA,6,0
LEN,MG,,01LUK041,-600,25,-281.772,SILICA,6,0
LEN,MG,,01LUK043,-1500,25,-704.43,SILICA,6,0
LEN,MG,,01LUK045,-2000,25,-939.24,SILICA,6,0
LEN,MG,,01LUK047,-800,25,-375.696,SILICA,6,0
LEN,MG,,01LUK049,-75,50,-35.222,SILICA,3,0
LEN,MG,,01LUK051,-100,50,-46.962,SILICA,4,0
LEN,MG,,01LUK053,-125,50,-58.703,SILICA,5,0
LEN,MG,,01LUK055,-150,50,-70.443,SILICA,6,0
LEN,MG,,01LUK057,-375,50,-176.108,SILICA,9,0
LEN,MG,,01LUK059,-625,50,-293.513,SILICA,9,0
LEN,MG,,01LUK061,-750,50,-352.215,SILICA,10,0
LEN,MG,,01LUK063,-1500,50,-704.43,SILICA,10,0
LEN,MG,,01LUK065,-2000,50,-939.24,SILICA,10,0
LEN,MG,,01LAI001,9.9721,5,6.3238,SK11,2.5,-3.97,SF5,1,-15.894
LEN,MG,,01LAI003,24.934,10,15.901,SK11,3.5,-10.478,SF5,1.5,-42.482
LEN,MG,,01LAI005,39.898,15,25.586,SK11,3.5,-17.137,SF5,2,-69.121
LEN,MG,,01LAI007,59.86,20,38.138,SK11,4.5,-25.63,SF5,2,-106.12
LEN,MG,,01LAI009,79.82,25,50.752,SK11,6,-33.993,SF5,2.5,-141.81
